frame,y,x,bottom,right,class,class_str,score
1.0,0.50222075,0.3509397,0.6057391,0.42182803,73,laptop,0.4894171
1.0,0.120551325,0.37404794,0.2310943,0.4179873,1,person,0.40793553
1.0,0.44282168,0.26567453,0.75413936,0.37480116,1,person,0.40606478
1.0,0.32131347,0.07336699,0.5899267,0.18318015,62,chair,0.4031432
1.0,0.24593768,0.45725867,0.43009505,0.5763418,67,dining table,0.39267975
1.0,0.5067862,0.1908491,0.9893038,0.44909856,1,person,0.38866013
1.0,0.44228572,0.23080495,0.8226389,0.36508587,1,person,0.3858153
1.0,0.2925378,0.62849414,0.3766132,0.68949044,72,tv,0.379352
1.0,0.19085431,0.43236473,0.30040732,0.47131374,62,chair,0.3719711
1.0,0.24755484,0.6773471,0.38210726,0.7307802,1,person,0.3706396
1.0,0.27849448,0.5885313,0.3576349,0.6261683,72,tv,0.34905678
1.0,0.34119666,0.069032684,0.5313569,0.16509487,33,suitcase,0.34202728
1.0,0.1550531,0.3654235,0.22649895,0.39132804,1,person,0.3387679
1.0,0.25533766,0.123989284,0.45201355,0.21706226,1,person,0.3366565
1.0,0.39482477,0.3952751,0.53147006,0.4555609,73,laptop,0.32253528
1.0,0.21316701,0.31266224,0.35534233,0.44113517,67,dining table,0.3189142
1.0,0.38973394,0.2669154,0.4567859,0.3057784,47,cup,0.30416316
1.0,0.13282049,0.3898473,0.22852397,0.41984448,1,person,0.30234402
2.0,0.50222474,0.35067698,0.60543567,0.4219555,73,laptop,0.44007692
2.0,0.12049165,0.37418866,0.23103568,0.41833216,1,person,0.41825196
2.0,0.44286612,0.23165923,0.8214017,0.36605537,1,person,0.40347803
2.0,0.24604045,0.4573226,0.43034184,0.5763062,67,dining table,0.39905453
2.0,0.4431367,0.26390865,0.7574452,0.37620106,1,person,0.39811638
2.0,0.48957428,0.18957205,0.98885965,0.4479894,1,person,0.3953854
2.0,0.25445047,0.1323279,0.45734504,0.22461037,1,person,0.385548
2.0,0.19073546,0.43221948,0.30075338,0.47134754,62,chair,0.38381326
2.0,0.24750227,0.6774834,0.38215166,0.730647,1,person,0.37605533
2.0,0.2924597,0.62816066,0.3766035,0.6895445,72,tv,0.3758652
2.0,0.34103325,0.068548456,0.5297397,0.16376348,33,suitcase,0.35045284
2.0,0.27868566,0.5885823,0.35720745,0.6260611,72,tv,0.34852445
2.0,0.36707973,0.07115242,0.6112509,0.17211905,62,chair,0.34364176
2.0,0.1549927,0.36549723,0.2261911,0.39143914,1,person,0.33534002
2.0,0.21292114,0.3124392,0.35531938,0.44117367,67,dining table,0.3305509
2.0,0.394846,0.39527515,0.5312562,0.45549908,73,laptop,0.31682575
