frame,y,x,bottom,right,class,class_str,score
1.0,0.7390393,0.3483559,1.0,0.4722277,32,tie,0.83087575
1.0,0.0057007074,0.017368883,0.99683785,0.7772063,1,person,0.81241435
2.0,0.7368021,0.3513851,1.0,0.47438613,32,tie,0.8354558
2.0,0.0053318143,0.012945056,0.99752194,0.77446103,1,person,0.82947975
3.0,0.7316733,0.3518384,1.0,0.47374576,32,tie,0.8731167
3.0,0.0057439506,0.012334228,0.99718916,0.7747461,1,person,0.83378136
4.0,0.7260503,0.3540045,1.0,0.47282296,32,tie,0.90731186
4.0,0.0057793558,0.005932331,0.9967264,0.7720685,1,person,0.76194334
5.0,0.7244959,0.35687602,1.0,0.47557348,32,tie,0.8571589
5.0,0.0055629015,0.0080498755,0.9970374,0.7728441,1,person,0.78910834
6.0,0.7223649,0.35789588,1.0,0.4772499,32,tie,0.8350383
6.0,0.0051176846,0.0061087906,0.9968666,0.7719885,1,person,0.7703521
7.0,0.7208047,0.3584289,1.0,0.4749226,32,tie,0.8214624
7.0,0.004363835,0.0055339336,0.99743694,0.7728684,1,person,0.78250444
8.0,0.0044619143,0.004902959,0.99771965,0.7690091,1,person,0.8077203
8.0,0.70913696,0.36145654,1.0,0.47473404,32,tie,0.7551925
9.0,0.7041102,0.36157104,1.0,0.4741362,32,tie,0.79843414
9.0,0.0040785074,0.004685551,0.9979464,0.7684771,1,person,0.7841265
10.0,0.7002855,0.35788128,1.0,0.46722946,32,tie,0.86151785
10.0,0.0046001375,0.004607618,0.99729156,0.7672097,1,person,0.7701978
11.0,0.6838969,0.34555113,1.0,0.46197844,32,tie,0.9321107
11.0,0.0036990047,0.0043290257,0.99791366,0.7705521,1,person,0.75658464
12.0,0.6746,0.3388638,1.0,0.45620728,32,tie,0.9186146
12.0,0.0039424896,0.004311353,0.9978173,0.77052855,1,person,0.7568369
13.0,0.67112803,0.33367172,1.0,0.45484325,32,tie,0.8879492
13.0,0.0036023855,0.0040946007,0.9979644,0.77238894,1,person,0.7757469
14.0,0.6705606,0.32669833,1.0,0.44938192,32,tie,0.8726969
14.0,0.0029139817,0.0036617815,0.9982536,0.7686485,1,person,0.7621572
15.0,0.673015,0.319816,1.0,0.44307017,32,tie,0.9090079
15.0,0.0026969016,0.0024364889,0.99891305,0.75928795,1,person,0.77139384
16.0,0.6721132,0.31737125,1.0,0.44744927,32,tie,0.9159285
16.0,0.0020168126,0.0020709932,0.9995327,0.753562,1,person,0.711916
17.0,0.67459005,0.321734,1.0,0.4387595,32,tie,0.88693726
17.0,0.0029493868,0.00086578727,0.9994707,0.74314725,1,person,0.7214283
18.0,0.6797402,0.31885207,1.0,0.4379735,32,tie,0.8284722
18.0,0.0027531385,0.00036630034,0.9998896,0.7446288,1,person,0.6786895
19.0,0.67987084,0.30249247,1.0,0.42390618,32,tie,0.7056035
19.0,0.0035644174,0.0003260672,0.9993985,0.73479795,1,person,0.69788015
20.0,0.68687415,0.29781407,1.0,0.42453974,32,tie,0.79331505
20.0,0.0038519204,0.00030642748,0.99927926,0.73087066,1,person,0.7125647
21.0,0.69518816,0.30755264,1.0,0.42491412,32,tie,0.7909368
